,tree_id,lat,lon,month_planted,year_planted,season
30353,249709,37.79289969,-122.4449814,2,2021,winter
30354,62181,37.72361068,-122.4413469,4,2017,spring
30356,61584,37.75765212,-122.3988742,8,1984,summer
30362,41184,37.80191878,-122.4448711,11,1999,fall
30363,87154,37.78614848,-122.4711806,1,2008,winter
30366,109348,37.7929686,-122.4367077,2,2015,winter
30370,29456,37.72775297,-122.3851088,2,2008,winter
30371,102203,37.76463791,-122.4432341,1,2013,winter
30375,12784,37.78603826,-122.4805092,3,1993,spring
30377,94346,37.80173096,-122.4015975,7,2010,summer
30378,98051,37.74399953,-122.4380344,3,2014,spring
30396,16391,37.7852173,-122.4221578,3,2003,spring
30401,28065,37.75320119,-122.409284,3,2001,spring
30402,253973,37.78227863,-122.4409871,1,2018,winter
30415,27945,37.80328406,-122.4015285,2,2001,winter
30421,64612,37.79770808,-122.4376764,8,1988,summer
30432,92594,37.79142859,-122.4446031,8,2009,summer
30434,110772,37.7549774,-122.4233625,5,2015,spring
30437,53440,37.78462881,-122.4578751,10,1969,fall
30438,67700,37.78357525,-122.4872153,11,1992,fall
30439,8506,37.783617,-122.437806,1,2005,winter
30443,66405,37.7378406,-122.4145708,7,2009,summer
30453,66645,37.75780913,-122.4072091,6,1991,summer
30460,45547,37.73449189,-122.4759938,7,2001,summer
30468,16494,37.74242519,-122.3846187,1,2003,winter
30471,41283,37.75114425,-122.5058061,1,2000,winter
30476,62202,37.72397218,-122.4391309,9,1985,fall
30477,12712,37.7862727,-122.4752605,11,1994,fall
30489,41210,37.80222756,-122.4367595,11,1999,fall
30495,46701,37.76055104,-122.4791362,4,2002,spring
30498,51878,37.79030567,-122.4358949,7,2005,summer
30500,35434,37.75251492,-122.3940575,3,1998,spring
30505,205192,37.75937681,-122.4680582,12,1986,winter
30508,251754,37.70942471,-122.4347801,10,2017,fall
30517,45542,37.73255839,-122.4813073,7,2001,summer
30523,158241,37.73639964,-122.4315887,1,2018,winter
30528,49432,37.79089179,-122.4035249,3,2003,spring
30530,231047,37.75283677,-122.4321092,7,1989,summer
30535,17171,37.7304923,-122.3831702,3,2007,spring
30540,60062,37.73901933,-122.3879642,3,1982,spring
30543,64736,37.78606831,-122.4615063,11,1988,fall
30549,256775,37.75030448,-122.4273669,12,2018,winter
30556,59299,37.78975431,-122.4307199,8,1980,summer
30557,60715,37.76099948,-122.4250653,2,1983,winter
30558,83,37.76750586,-122.433665,12,1997,winter
30560,14556,37.77346351,-122.4459996,4,1993,spring
30561,18443,37.75590736,-122.4067606,9,1994,fall
30565,9446,37.78066227,-122.4240734,5,1992,spring
30567,93282,37.7487659,-122.427104,12,2008,winter
30569,38901,37.78246449,-122.4542621,11,1998,fall
30571,159219,37.71251733,-122.4464325,10,2017,fall
30572,28551,37.72019817,-122.4380674,8,2003,summer
30573,4287,37.74723114,-122.4361962,1,1998,winter
30575,61297,37.76588294,-122.4311139,4,2015,spring
30579,205481,37.72757823,-122.4464839,9,2017,fall
30582,90768,37.77361147,-122.5007676,4,2008,spring
30584,32974,37.75816673,-122.3961582,11,1996,fall
30589,67047,37.74026422,-122.4807896,3,1992,spring
30590,3933,37.76698576,-122.4356737,9,2014,fall
30598,38212,37.72636957,-122.4035737,7,1998,summer
30599,50232,37.76018969,-122.4907898,8,2003,summer
30601,65536,37.80443646,-122.4419632,6,1990,summer
30606,243490,37.75785012,-122.4169084,1,2018,winter
30610,66074,37.76148889,-122.3963188,8,1990,summer
30611,12831,37.78573927,-122.4835845,5,2008,spring
30612,42894,37.74058007,-122.4876199,7,2000,summer
30613,84746,37.77871466,-122.3913317,5,2007,spring
30620,101707,37.79268434,-122.4313052,11,2012,fall
30622,53197,37.79218186,-122.4444911,11,2006,fall
30625,44022,37.78704709,-122.4491624,9,2000,fall
30626,93343,37.77931477,-122.4437504,11,2008,fall
30643,47867,37.78273348,-122.4672664,6,2002,summer
30644,118039,37.78139612,-122.4968841,3,2018,spring
30650,19350,37.71793679,-122.4684407,3,2018,spring
30651,25884,37.79928175,-122.3975678,10,1995,fall
30652,57187,37.76450702,-122.4424076,10,1974,fall
30658,66824,37.77292855,-122.450976,3,2018,spring
30662,49887,37.79973175,-122.4227612,7,2009,summer
30663,46075,37.78312496,-122.4555533,12,2001,winter
30666,59129,37.77907307,-122.4695911,3,1992,spring
30667,261830,37.73648045,-122.460243,3,2020,spring
30671,13766,37.78446833,-122.4072475,9,1990,fall
30674,28891,37.77930504,-122.3975825,5,2011,spring
30679,52009,37.71058705,-122.398448,8,2006,summer
30681,261350,37.71119717,-122.4619729,1,2020,winter
30685,30305,37.78338526,-122.4568697,6,2004,summer
30698,3549,37.74066554,-122.3779251,5,2017,spring
30699,49202,37.75879076,-122.4125684,2,2003,winter
30700,233511,37.77242757,-122.4273761,6,2018,summer
30701,29437,37.72437616,-122.3881628,2,2006,winter
30704,49760,37.71353757,-122.410861,6,2003,summer
30707,29148,37.78442323,-122.4127747,11,2005,fall
30712,32628,37.77368029,-122.4025753,10,1996,fall
30715,50237,37.76451883,-122.4923113,8,2004,summer
30720,206316,37.72650529,-122.4747173,2,2008,winter
